Stock id,Stock name,Stock code
1,3M,MMM
2,American Express,AXP
3,Alcoa,AA
4,AT&T ,T
5,Bank of America,BAC
6,Boeing,BA
7,Caterpillar,CAT
8,Chevron,CVX
9,Cisco Systems,CSCO
10,Coca-Cola,KO
11,DuPont,DD
12,ExxonMobil,XOM
13,General Electric,GE
14,Hewlett-Packard,HPQ
15,The Home Depot,HD
16,Intel,INTC
17,IBM,IBM
18,Johnson & Johnson,JNJ
19,JPMorgan Chase,JPM
20,Kraft,KRFT
21,McDonald's,MCD
22,Merck,MRK
23,Microsoft,MSFT
24,Pfizer,PFE
25,Procter & Gamble,PG
26,Travelers,TRV
27,United Technologies,UTX
28,Verizon,VZ
29,Wal-Mart,WMT
30,Walt Disney,DIS
